country,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,4,4,4,1,12,12,12,12,12,12,12,12,12,16,16,16,16,17,9,10,10,10,10,10,10,10,10,32,34,35,31,31,31,31,32,32,32,32,34,34,34,32,34,35
Albania,50,53,53,58,58,58,58,57,57,57,57,57,56,56,56,54,39,42,42,42,42,49,40,42,43,43,48,48,48,49,52,52,52,52,53,54,53,53,59,59,59,59,62,68
Algeria,33,33,32,32,32,33,33,31,31,33,33,33,37,35,35,36,37,38,38,39,39,39,38,38,35,38,38,38,38,38,38,38,42,42,43,43,44,44,53,57,57,58,52,53
Angola,37,37,37,37,37,41,41,41,41,41,41,43,43,43,43,43,44,44,41,41,41,41,41,42,42,42,42,45,48,48,48,48,48,51,47,47,47,47,52,52,52,52,60,65
Argentina,42,32,32,32,32,32,31,31,41,49,49,49,50,50,50,50,52,58,61,61,62,63,67,67,67,67,67,67,69,70,70,70,79,79,79,79,81,81,72,72,67,65,65,66
Armenia,,,,,,,,,,,,,,,,,42,42,42,42,39,42,42,39,37,37,37,37,43,44,44,44,46,48,49,48,47,48,49,49,50,52,55,56
Australia,53,53,53,53,53,53,53,53,58,58,58,63,64,64,64,70,70,70,71,71,71,74,74,75,75,76,76,76,76,77,77,78,80,80,80,82,82,82,71,71,71,74,74,73
Austria,48,51,51,51,52,54,54,54,54,54,54,58,58,58,59,61,61,61,61,61,70,70,70,70,70,70,70,71,71,71,71,71,72,71,71,71,71,71,70,70,70,67,75,73
Azerbaijan,,,,,,,,,,,,,,,,,28,30,28,28,32,32,32,32,32,35,35,35,35,37,37,37,37,37,37,38,38,38,37,36,37,37,39,41
Bahrain,19,19,19,19,19,19,19,19,19,19,19,19,19,19,20,21,21,17,17,17,17,17,18,18,18,18,18,27,27,27,27,30,30,31,31,31,34,34,34,34,34,34,34,34
Bangladesh,48,48,48,49,49,49,49,49,49,51,51,50,50,50,50,50,53,53,53,53,53,53,53,53,53,53,47,47,47,47,53,53,54,57,58,58,58,58,58,57,57,57,49,47
Belarus,,,,,,,,,,,,,,,,,42,46,59,56,57,57,57,57,57,59,58,58,59,64,64,65,65,66,66,66,66,66,61,62,62,61,61,61
Belgium,54,54,55,59,59,59,62,63,64,64,61,61,63,63,64,76,82,82,82,82,82,82,82,82,87,87,87,87,94,94,94,94,93,93,95,95,95,95,85,84,84,84,83,83
Benin,52,52,52,52,54,54,54,54,54,53,53,53,53,53,53,59,52,55,55,55,61,55,55,55,61,61,55,55,61,61,61,57,59,59,59,59,59,58,60,60,61,62,64,62
Bolivia,29,29,29,29,28,28,28,28,31,31,32,32,32,32,38,38,38,38,35,41,42,42,45,45,45,45,45,47,47,47,48,52,52,52,55,54,54,54,55,58,57,58,57,57
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,49,49,49,49,47,47,50,50,56,56,58,58,58,59,59,59,59,60,54,54,54,52,58,58,61,61,61
Botswana,31,38,31,31,34,34,34,34,34,36,36,39,39,39,40,42,42,42,42,44,44,44,44,44,48,48,48,48,49,49,49,49,49,51,50,50,50,50,52,54,57,57,56,55
Brazil,34,34,34,35,35,35,35,37,37,37,42,46,46,50,50,51,51,51,51,51,56,55,55,56,57,57,57,61,61,61,61,61,61,63,63,70,70,70,69,70,70,55,55,55
Bulgaria,67,66,66,66,66,66,67,67,67,67,68,69,69,69,70,73,74,74,74,75,76,76,77,77,77,77,79,79,79,79,78,79,79,79,82,82,83,82,86,79,79,83,82,78
Burkina Faso,47,47,47,42,42,38,40,40,43,43,43,43,43,45,49,44,46,48,48,48,47,47,50,51,51,51,51,52,52,52,53,53,52,53,53,52,52,51,49,49,48,49,51,55
Burundi,17,17,22,22,22,22,22,25,25,28,28,28,28,28,28,28,28,31,40,39,39,39,39,40,40,42,42,43,43,43,48,46,46,46,47,47,46,46,48,51,49,43,46,50
Cambodia,27,45,45,45,45,26,23,23,24,24,24,24,24,24,24,24,24,28,29,38,38,39,39,40,40,40,40,40,41,41,41,41,42,42,43,43,43,43,48,48,48,48,45,41
Cameroon,22,22,22,23,23,23,24,24,24,25,25,25,25,26,26,35,35,36,36,36,36,36,34,34,34,41,41,42,42,42,42,42,43,43,43,45,46,46,46,46,46,47,47,44
Canada,58,58,58,58,58,60,60,64,64,69,69,69,69,68,68,68,68,68,75,75,75,75,79,79,79,80,80,80,80,79,79,79,79,80,80,80,80,80,74,74,83,81,81,81
Central African Republic,31,31,31,31,31,35,38,38,38,38,38,39,39,39,39,39,39,41,45,45,45,45,45,45,45,45,45,45,45,45,47,47,47,47,47,47,47,48,50,51,59,56,52,58
Chad,19,19,19,19,19,19,19,17,17,17,17,17,17,17,17,18,32,32,33,33,33,37,32,32,32,34,34,38,38,39,39,39,37,36,36,34,38,38,41,44,44,45,44,44
Chile,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,36,36,36,47,47,47,47,40,41,41,67,67,68,68,68,69,69,69,70,69,67,67,67,65,70,66,66,66,65
China,51,51,51,49,49,49,49,50,50,50,50,48,48,48,48,48,48,48,48,49,49,49,49,49,49,49,49,47,47,47,47,47,47,47,47,46,46,46,47,47,48,48,48,47
Colombia,32,33,33,31,31,33,33,32,32,32,32,34,34,34,34,40,50,51,51,55,55,55,55,51,51,56,56,61,61,62,62,59,59,59,59,61,61,61,61,63,63,63,63,56
"Congo, Dem. Rep.",18,18,15,15,15,20,20,21,21,21,21,21,22,22,22,26,26,28,36,35,35,35,35,35,35,35,35,35,36,38,38,37,37,39,37,37,40,40,43,43,43,47,49,49
"Congo, Rep.",23,23,24,24,24,24,24,24,24,30,30,30,30,30,31,32,31,31,26,26,26,26,30,31,31,31,31,32,34,34,34,34,33,33,33,33,33,38,42,43,43,43,45,50
Costa Rica,45,45,45,47,51,51,51,46,46,46,46,52,57,60,60,69,72,72,72,74,74,74,74,76,76,80,80,83,83,83,83,87,87,87,93,92,92,92,89,91,91,91,90,92
Cote d'Ivoire,32,32,32,32,32,31,31,31,31,31,31,31,31,31,31,35,35,35,35,40,45,45,45,45,45,50,48,48,48,48,48,48,48,48,48,55,53,53,57,57,57,57,53,53
Croatia,,,,,,,,,,,,,,,,,46,50,50,50,53,53,58,58,58,72,72,72,72,67,67,67,69,69,70,71,70,70,67,67,64,64,64,64
Cuba,45,48,48,48,59,59,59,59,60,60,60,60,60,60,60,60,60,60,61,61,61,61,61,63,63,63,63,63,64,64,64,64,64,65,65,64,64,64,69,69,69,70,70,70
Cyprus,36,36,37,37,38,41,42,42,42,42,41,42,42,42,42,47,50,50,53,53,53,50,51,51,51,55,57,57,60,61,61,63,63,62,62,63,66,64,63,64,64,64,65,66
Czech Republic,46,46,46,46,46,46,46,47,47,47,47,49,49,49,49,63,63,62,62,62,63,64,64,64,64,64,64,67,67,67,67,66,66,66,66,66,66,66,65,65,65,65,70,70
Denmark,73,73,74,74,76,76,77,77,77,80,80,80,78,79,79,85,85,85,85,89,89,89,90,92,92,92,90,90,90,91,89,89,91,91,91,91,93,93,92,92,88,88,88,88
Dominican Republic,35,35,36,37,40,42,42,39,39,39,39,39,39,39,39,43,43,43,43,49,49,47,56,57,57,57,57,57,57,57,58,58,59,60,60,61,61,64,65,65,64,65,65,65
Ecuador,11,11,11,11,23,28,28,28,28,28,28,27,27,29,29,30,30,31,31,31,31,36,34,43,43,46,46,46,46,46,46,46,49,53,54,54,59,59,62,62,63,74,73,73
Egypt,24,24,24,24,27,27,27,28,29,29,29,29,28,28,28,27,28,28,28,28,28,30,30,30,30,31,31,31,31,31,28,28,28,28,28,32,36,36,34,36,36,36,37,38
El Salvador,31,31,31,32,34,40,40,41,41,41,41,41,41,43,43,43,42,45,43,47,47,47,48,48,48,46,46,46,47,48,48,50,50,50,51,52,52,52,50,49,48,48,49,49
